FlightNumber,Date,BoosterVersion,LaunchSite,Payload,PayloadMass,Orbit,Customer,Launch outcome,Booster landing
1,4 June 2010,F9 v1.0B0003.1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,,"Success
",Failure
2,8 December 2010,F9 v1.0B0004.1,CCAFS,Dragon,0,LEO,,Success,Failure
3,22 May 2012,F9 v1.0B0005.1,CCAFS,Dragon,525 kg,LEO,,Success,"No attempt
"
4,8 October 2012,F9 v1.0B0006.1,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,,"Success
",No attempt
5,1 March 2013,F9 v1.0B0007.1,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,,"Success
","No attempt
"
6,29 September 2013,F9 v1.1B1003,VAFB,CASSIOPE,500 kg,Polar orbit,,Success,Uncontrolled
7,3 December 2013,F9 v1.1,CCAFS,SES-8,"3,170 kg",GTO,,Success,No attempt
8,6 January 2014,F9 v1.1,CCAFS,Thaicom 6,"3,325 kg",GTO,,Success,No attempt
9,18 April 2014,F9 v1.1,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,,"Success
",Controlled
10,14 July 2014,F9 v1.1,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,,Success,Controlled
11,5 August 2014,F9 v1.1,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,,Success,No attempt
12,7 September 2014,F9 v1.1,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,,Success,"No attempt
"
13,21 September 2014,F9 v1.1,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,,Success,Uncontrolled
14,10 January 2015,F9 v1.1,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,,Success,Failure 
15,11 February 2015,F9 v1.1,Cape Canaveral,DSCOVR,570 kg,HEO,,"Success
",Controlled
16,2 March 2015,F9 v1.1,Cape Canaveral,ABS-3A,"4,159 kg",GTO,,"Success
",No attempt
17,14 April 2015,F9 v1.1,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,"Success
",Failure
18,27 April 2015,F9 v1.1,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",No attempt
19,28 June 2015,F9 v1.1,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,,Failure,Precluded
20,22 December 2015,F9 FT,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,,"Success
",Success
21,17 January 2016,F9 v1.1,VAFB,Jason-3,553 kg,LEO,,"Success
",Failure
22,4 March 2016,F9 FT,Cape Canaveral,SES-9,"5,271 kg",GTO,,"Success
",Failure
23,8 April 2016,F9 FT,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,,Success,Success
